Linear Model:
E=0.0113845 Y=4.98998 U=6.00049
E=0.0100198 Y=4.99118 U=6.00158
E=0.00881863 Y=4.99224 U=6.00254
E=0.007761 Y=4.99317 U=6.00339
E=0.00682974 Y=4.99399 U=6.00414
E=0.00601006 Y=4.99471 U=6.00479
E=0.00528908 Y=4.99535 U=6.00537
E=0.00465393 Y=4.9959 U=6.00588
E=0.00409508 Y=4.9964 U=6.00633
E=0.00360298 Y=4.99683 U=6.00672
E=0.00317049 Y=4.99721 U=6.00707
E=0.0027895 Y=4.99755 U=6.00737
E=0.00245428 Y=4.99784 U=6.00764
E=0.0021596 Y=4.9981 U=6.00788
E=0.0019002 Y=4.99833 U=6.00809
E=0.00167179 Y=4.99853 U=6.00827
E=0.00147104 Y=4.99871 U=6.00843
E=0.00129414 Y=4.99886 U=6.00857
E=0.00113869 Y=4.999 U=6.0087
E=0.00100231 Y=4.99912 U=6.00881
E=0.000881672 Y=4.99922 U=6.0089
E=0.000775814 Y=4.99932 U=6.00899
E=0.000682831 Y=4.9994 U=6.00906
E=0.000600815 Y=4.99947 U=6.00913
E=0.000528336 Y=4.99954 U=6.00918
E=0.000464916 Y=4.99959 U=6.00924
E=0.000409126 Y=4.99964 U=6.00928
E=0.000359535 Y=4.99968 U=6.00932
Linear Model:
E=3 Y=2.3976 U=1.2
E=2.6024 Y=1.72357 U=0.44096
E=3.27643 Y=2.3 U=1.09009
E=2.7 Y=2.20664 U=0.984954
E=2.79336 Y=2.63312 U=1.46523
E=2.36688 Y=2.70481 U=1.54596
E=2.29519 Y=3.00314 U=1.88192
E=1.99686 Y=3.12009 U=2.01361
E=1.87991 Y=3.33534 U=2.25602
E=1.66466 Y=3.45698 U=2.39299
E=1.54302 Y=3.61894 U=2.57538
E=1.38106 Y=3.73083 U=2.70139
E=1.26917 Y=3.85687 U=2.84332
E=1.14313 Y=3.95461 U=2.95339
E=1.04539 Y=4.05498 U=3.06642
E=0.945017 Y=4.1382 U=3.16014
E=0.8618 Y=4.2193 U=3.25146
E=0.780703 Y=4.28919 U=3.33017
E=0.710812 Y=4.35529 U=3.40461
E=0.644707 Y=4.41355 U=3.47022
E=0.586448 Y=4.46772 U=3.53121
E=0.532281 Y=4.51608 U=3.58567
E=0.483925 Y=4.5606 U=3.63581
